Pandaka rouxi,Pandaka flori,Pandaka pigoti
Francisco Baltazar,Francisco de Leon,Francisco Diaz 
Gabriella Silang,Melchora Aquino,Teodora Agoncillo
Teodora Alonzo,Josefa Llanes Escoda,Teodora Agoncillo
Sultan Kosen,Sultan Sharif ul-Hashim,Sultan Muhammad ul-Halim
Marcelo H. Del Pilar,Francisco Dagohoy,Emilio Aguinaldo
Biak-na-bato,Pugadlawin,bahay ni Aguinaldo
Magellan's Cross,Krus na Ligas,Krus ng Kagitingan 
Juan Luna,Napoleon Abueva,Fernando Amorsolo
Jose Palma,Manuel Quezon,Ramon Magsaysay
Ramon Magsaysay,Manuel Roxas,Jose Palma
Cebu,Mactan,Oslob
Kasunduan sa Torsedillas,Kasunduan sa Biak-na-bato,Kasunduan sa Hawaii
Emilio Aguinaldo,Jose P. Laurel,ELpidio Quirino
Jose P. Laurel,Manuel Quezon,Ramon Magsaysay
Japan,Korea,Russia
Singsing ng Apoy ng Celebes,Singsing ng Apoy ng ekwador,Singsing ng apoy ng South China Sea
Rakuh a Payaman,Itbayat,Isla ng Mavudis
tamnanan,gitanuman,gihagdang tamnanan
budburon,dalag,tanige
Haring George II,Haring Carlos I,Haring Sargon
maya,kulasisi,buwitre
Manuskripto,Orasan,Langit
tsinelas,sapatos, alpombra
pilak,ginto,bronse
kuwentong bayan,parabula,pabula
epiko,parabula,pabula
kumintang,pasyon,korido
ibon,pukyutan,lamok
