Andres Bonifacio,Miguel Malvar
Jose Rizal,Emilio Jacinto
Apolonio Mabini,Emilio Aguinaldo 
Guillermo Tolentino,Napoleon Abueva
Manuel Roxas,Francisco Balagtas
Elpidio Quirino,Diosdado Macapagal
Guimaras,Sulo
Fort San Pedro,Fort Bonifacio
Happy March,Fun run
Tacloban,Dumaguete
Ilokano,Chavakano
King Philip II,King George IV
klaster,malakatinig
Probinsya ng Quezon,Laguna 
Hindu,Malay
Bulkang Pinatubo,Bulkang Taal
Pangasinan,Batanes
CAR,ARMM
Pampangga,Leyte
Islam,Katolisismo
patintero,takyan
katakataka,ilang-ilang
karinyosa,sayaw sa bangko
parabula,kuwentong bayan
awit,korido
parabula,kuwentong bayan
batok,lilok
bag,kwintas
barong tagalog,pantalon
jeep,kariton
epiko,pabula
bugtong,awit
pinoy henyo,debate
Jose Rizal,Francisco Balagtas
